,StartTime,EndTime,Rate
0,00:00:00,01:00:00,0.5
1,01:00:00,02:00:00,0.6
2,02:00:00,03:00:00,0.6
3,03:00:00,04:00:00,0.5
4,04:00:00,05:00:00,0.6
5,05:00:00,06:00:00,0.5
6,06:00:00,07:00:00,0.6
7,07:00:00,08:00:00,0.5
8,08:00:00,09:00:00,0.6
9,09:00:00,10:00:00,0.6
10,10:00:00,11:00:00,0.6
11,11:00:00,12:00:00,0.3
12,12:00:00,13:00:00,0.3
13,13:00:00,14:00:00,0.3
14,14:00:00,15:00:00,0.4
15,15:00:00,16:00:00,0.6
16,16:00:00,17:00:00,0.4
17,17:00:00,18:00:00,0.6
18,18:00:00,19:00:00,0.6
19,19:00:00,20:00:00,0.6
20,20:00:00,21:00:00,0.6
21,21:00:00,22:00:00,0.6
22,22:00:00,23:00:00,0.6
23,23:00:00,00:00:00,0.5
